District,Division,Year,Crop Type,Area(acres),Production(tons)
Chandpur,Chittagong,2012,Aus Rice,24725,22360
Feni,Chittagong,2012,Aus Rice,30734,27255
Comilla,Chittagong,2012,Aus Rice,166611,161670
Rangamati,Chittagong,2012,Aus Rice,16131,9899
Noakhali,Chittagong,2012,Aus Rice,141596,94064
Khagrachhari,Chittagong,2012,Aus Rice,6243,4943
Dinajpur,North region,2012,Aus Rice,54201,30776
Rangpur,North region,2012,Aus Rice,1200,1068
Rajshahi,North region,2012,Aus Rice,117019,102336
Bogura,North region,2012,Aus Rice,57296,50923
Khulna,Khulna,2013,Aus Rice,19414,17413
Jessor,Khulna,2013,Aus Rice,149043,105251
Satkhira,Khulna,2013,Aus Rice,9763,5621
Chuadanga,Khulna,2013,Aus Rice,20873,22977
Chittagong,Chittagong,2013,Aus Rice,109163,110758
Cox's Bazar,Chittagong,2013,Aus Rice,5347,4747
Chandpur,Chittagong,2013,Aus Rice,25344,22552
Feni,Chittagong,2013,Aus Rice,33181,27035
Comilla,Chittagong,2013,Aus Rice,172392,189004
Rangamati,Chittagong,2013,Aus Rice,14036,9968
Noakhali,Chittagong,2013,Aus Rice,142964,93622
Khagrachhari,Chittagong,2013,Aus Rice,6114,4570
Dinajpur,North region,2013,Aus Rice,57176,37392
Rangpur,North region,2013,Aus Rice,0,0
Rajshahi,North region,2013,Aus Rice,117246,103380
Bogura,North region,2013,Aus Rice,57296,56120
Khulna,Khulna,2014,Aus Rice,8392,4525
Jessor,Khulna,2014,Aus Rice,84690,96397
Satkhira,Khulna,2014,Aus Rice,20051,20133
Chuadanga,Khulna,2014,Aus Rice,63034,70287
Chittagong,Chittagong,2014,Aus Rice,108575,108026
Cox's Bazar,Chittagong,2014,Aus Rice,4405,4110
Chandpur,Chittagong,2014,Aus Rice,29308,25969
Feni,Chittagong,2014,Aus Rice,29269,26338
Comilla,Chittagong,2014,Aus Rice,169961,172306
Rangamati,Chittagong,2014,Aus Rice,17241,11414
Noakhali,Chittagong,2014,Aus Rice,132752,93409
Khagrachhari,Chittagong,2014,Aus Rice,6406,4687
Dinajpur,North region,2014,Aus Rice,12067,11216
Rangpur,North region,2014,Aus Rice,3275,3438
Rajshahi,North region,2014,Aus Rice,96094,111467
Bogura,North region,2014,Aus Rice,56081,52125
Khulna,Khulna,2006,Aman Rice,274505,220009
Jessor,Khulna,2006,Aman Rice,330570,332764
Satkhira,Khulna,2006,Aman Rice,245990,257794
Chuadanga,Khulna,2006,Aman Rice,89290,76724
Chittagong,Chittagong,2006,Aman Rice,459145,456501
Cox's Bazar,Chittagong,2006,Aman Rice,174520,188959
Chandpur,Chittagong,2006,Aman Rice,117990,77183
Feni,Chittagong,2006,Aman Rice,144220,145924
Comilla,Chittagong,2006,Aman Rice,361495,276646
Rangamati,Chittagong,2006,Aman Rice,22705,22788
Noakhali,Chittagong,2006,Aman Rice,278360,188034
Khagrachhari,Chittagong,2006,Aman Rice,58020,58698
Dinajpur,North region,2006,Aman Rice,568075,469396
Rangpur,North region,2006,Aman Rice,349160,330083
Rajshahi,North region,2006,Aman Rice,169020,147656
Bogura,North region,2006,Aman Rice,421930,372447
Khulna,Khulna,2007,Aman Rice,267735,192869
Jessor,Khulna,2007,Aman Rice,339730,354555
Satkhira,Khulna,2007,Aman Rice,243320,227075
Chuadanga,Khulna,2007,Aman Rice,87165,86416
Chittagong,Chittagong,2007,Aman Rice,450770,440316
Cox's Bazar,Chittagong,2007,Aman Rice,161305,174746
Chandpur,Chittagong,2007,Aman Rice,84070,42389
Feni,Chittagong,2007,Aman Rice,107910,104925
Comilla,Chittagong,2007,Aman Rice,366095,279798
Rangamati,Chittagong,2007,Aman Rice,18030,16982
Noakhali,Chittagong,2007,Aman Rice,248240,125346
Khagrachhari,Chittagong,2007,Aman Rice,71655,61395
Dinajpur,North region,2007,Aman Rice,569720,553907
Rangpur,North region,2007,Aman Rice,333875,265742
Rajshahi,North region,2007,Aman Rice,170430,177145
Bogura,North region,2007,Aman Rice,411435,365945
Khulna,Khulna,2008,Aman Rice,264390,212203
Jessor,Khulna,2008,Aman Rice,349635,346735
Satkhira,Khulna,2008,Aman Rice,272105,287569
Chuadanga,Khulna,2008,Aman Rice,97585,94440
Chittagong,Chittagong,2008,Aman Rice,474045,469112
Cox's Bazar,Chittagong,2008,Aman Rice,176510,212418
Chandpur,Chittagong,2008,Aman Rice,118510,79282
Feni,Chittagong,2008,Aman Rice,127440,125732
Comilla,Chittagong,2008,Aman Rice,382070,327417
Rangamati,Chittagong,2008,Aman Rice,24075,22333
Noakhali,Chittagong,2008,Aman Rice,279060,193174
Khagrachhari,Chittagong,2008,Aman Rice,72520,75935
Dinajpur,North region,2008,Aman Rice,604585,602007
Rangpur,North region,2008,Aman Rice,348050,320885
Rajshahi,North region,2008,Aman Rice,171015,179016
Bogura,North region,2008,Aman Rice,443735,386283
Khulna,Khulna,2009,Aman Rice,217912,215848
Jessor,Khulna,2009,Aman Rice,341226,313555
Satkhira,Khulna,2009,Aman Rice,207649,193309
Chuadanga,Khulna,2009,Aman Rice,113537,104373
Chittagong,Chittagong,2009,Aman Rice,469442,489931
Cox's Bazar,Chittagong,2009,Aman Rice,181152,224699
Chandpur,Chittagong,2009,Aman Rice,129394,99443
Feni,Chittagong,2009,Aman Rice,141039,147174
Comilla,Chittagong,2009,Aman Rice,368455,341627
Rangamati,Chittagong,2009,Aman Rice,23922,25537
Noakhali,Chittagong,2009,Aman Rice,288961,216300
Khagrachhari,Chittagong,2009,Aman Rice,77761,87202
Dinajpur,North region,2009,Aman Rice,607395,581075
Rangpur,North region,2009,Aman Rice,357770,346055
Rajshahi,North region,2009,Aman Rice,187090,193581
Bogura,North region,2009,Aman Rice,441965,366445
